gene	mean	median	longest_isoform	merged
ENSG00000207730.1	95	95	95	95
ENSG00000207607.1	90	90	90	90
ENSG00000198976.1	83	83	83	83
ENSG00000272141.1_8	987	987	987	987
ENSG00000205231.1_9	3532	3532	3532	3532
ENSG00000162571.14_9	2236	2288	2307	3178
ENSG00000186891.14_13	841	789	1083	1271
ENSG00000186827.12_10	1028	1075	1184	1406
ENSG00000078808.20_14	2006	2006	2079	2079
ENSG00000176022.7_10	2805	2805	2805	2805
ENSG00000184163.3_8	1036	1036	1036	1036
ENSG00000260179.1_8	1558	1558	1558	1558
ENSG00000160087.21_11	1554	1057	2387	2605
ENSG00000230415.1_8	328	328	389	513
ENSG00000162572.21_13	2983	2890	3475	3859
ENSG00000131584.19_8	3036	3036	3793	3793
ENSG00000169972.13_7	1257	1257	1257	1257
ENSG00000127054.22_10	1923	1862	2629	3430
ENSG00000240731.1_11	386	386	386	386
ENSG00000224051.7_6	2154	2154	2154	2154
ENSG00000169962.5_6	3475	3475	3475	3475
ENSG00000107404.21_14	3115	3115	3305	3307
ENSG00000162576.17_9	2313	2262	2728	3088
ENSG00000175756.14_8	874	836	1072	1122
ENSG00000223663.2_8	367	367	367	367
ENSG00000221978.13_11	2149	2149	3112	3628
ENSG00000224870.9_12	1868	1868	1868	1868
ENSG00000242485.6_8	874	874	1049	1400
ENSG00000264293.1	292	292	292	292
ENSG00000272455.1_9	1523	1523	1523	1523
ENSG00000235098.9_10	1602	1632	2024	2644
ENSG00000225905.1_10	543	543	543	543
ENSG00000205116.4_5	3217	3217	3217	3217
ENSG00000225285.1_9	572	572	634	811
ENSG00000179403.12_8	3319	3319	4492	4659
ENSG00000215915.10_10	3864	3864	3864	3864
ENSG00000160072.20_6	3106	3106	4098	4098
ENSG00000290916.1_1	660	660	660	660
ENSG00000284740.3_4	227	227	227	227
ENSG00000197785.14_13	2474	2481	2612	2786
ENSG00000205090.10_9	1088	1088	1381	2009
ENSG00000160075.12_8	2730	2730	4176	5209
ENSG00000215014.5_11	841	841	841	841
ENSG00000274481.1_7	400	400	400	400
ENSG00000228594.4_11	2124	2124	2124	2124
ENSG00000286989.1_5	1830	1830	1830	1830
ENSG00000272106.1_8	2038	2038	2038	2038
ENSG00000197530.13_15	3136	3206	3311	3798
ENSG00000189409.14_16	1278	1278	1309	1315
ENSG00000248333.9_12	2471	2473	2711	3209
ENSG00000272004.1_8	400	400	400	400
ENSG00000189339.12_8	4822	5913	6399	6982
ENSG00000269737.2_8	962	962	1422	1819
ENSG00000215914.4_5	1017	1017	1017	1017
ENSG00000008128.23_12	2564	2452	2984	3170
ENSG00000268575.1_11	5079	5079	5079	5079
ENSG00000227775.3_9	453	453	497	807
ENSG00000290854.1_3	1589	1430	2078	3264
ENSG00000215790.9_11	732	732	732	732
ENSG00000008130.15_8	3328	3235	3653	3880
ENSG00000078369.19_10	2835	3008	3484	5360
ENSG00000231050.3_10	1018	1018	1018	1018
ENSG00000169885.10_10	670	670	670	670
ENSG00000178821.13_10	1026	1026	1118	1302
ENSG00000142609.20_12	5301	5301	5355	5412
ENSG00000233542.2_11	1465	1465	1954	2063
ENSG00000187730.9_12	1734	1695	1914	2218
ENSG00000226969.1_11	437	437	437	437
ENSG00000067606.17_9	2339	2339	2385	2853
ENSG00000271806.1_8	4196	4196	4196	4196
ENSG00000182873.5_10	937	937	1253	1734
ENSG00000162585.17_10	1070	1070	1413	1783
ENSG00000234396.3_10	326	326	326	326
ENSG00000157933.11_7	6083	6083	6083	6083
ENSG00000287356.1_5	4853	4853	5675	5794
ENSG00000116151.14_16	1572	1572	1645	2088
ENSG00000272161.1_9	493	493	493	493
ENSG00000269896.2_9	1310	1310	2407	2407
ENSG00000272420.1_9	568	568	568	568
ENSG00000157916.20_8	2084	2469	3028	4989
ENSG00000157911.11_14	2560	2835	2905	2905
ENSG00000149527.18_16	5052	4870	5450	5881
ENSG00000224387.1_10	455	455	455	455
ENSG00000229393.1_10	514	514	514	514
ENSG00000157881.16_17	2582	2582	2641	2641
ENSG00000197921.6_8	1324	1324	1324	1324
ENSG00000272449.3_11	1531	1531	1531	1531
ENSG00000238164.6_17	2337	2585	3608	6137
ENSG00000157873.18_13	1299	1299	1702	1921
ENSG00000225931.3_9	1297	1297	1297	1297
ENSG00000228037.1_8	626	626	626	626
ENSG00000289610.2_2	451	451	451	451
ENSG00000157870.17_9	2464	2718	2827	2828
ENSG00000142606.16_14	2411	2411	2879	2879
ENSG00000237058.1_8	373	373	373	373
ENSG00000215912.13_13	4777	4777	7780	7780
ENSG00000285945.1_6	593	593	593	593
ENSG00000283259.1_8	1565	1565	1565	1565
ENSG00000233234.1_10	607	607	607	607
ENSG00000287396.1_3	663	663	663	663
ENSG00000231630.1_10	429	429	429	429
ENSG00000284745.1_8	1509	1509	1509	1509
ENSG00000169717.7_7	1437	1437	1437	1437
ENSG00000177133.14_12	2507	2254	4247	5243
ENSG00000142611.17_12	5665	4864	8698	8736
ENSG00000226286.1_10	469	469	469	469
ENSG00000279839.1_8	2677	2677	2677	2677
ENSG00000272235.1_8	3461	3461	3461	3461
ENSG00000287828.1_5	728	728	728	728
ENSG00000286518.1_5	2784	2784	2784	2784
ENSG00000130762.15_9	2417	2219	2822	3162
ENSG00000272088.1_8	382	382	382	382
ENSG00000162591.17_11	6333	7056	7443	7812
ENSG00000207776.1	96	96	96	96
ENSG00000238260.3_11	1164	1164	1340	1340
ENSG00000158109.15_6	2295	2295	2401	2401
ENSG00000116213.16_13	1845	1845	1998	2043
ENSG00000078900.15_12	3301	2140	5192	5559
ENSG00000227589.1_10	754	754	754	754
ENSG00000235131.1_9	351	351	351	351
ENSG00000227372.12_11	2057	1455	3525	3964
ENSG00000162592.10_7	2125	2125	2125	2125
ENSG00000235169.11_10	520	509	547	772
ENSG00000130764.10_9	4303	4303	4303	4303
ENSG00000266075.1	295	295	295	295
ENSG00000272153.1_8	531	531	531	531
ENSG00000116198.14_13	4894	5779	6559	7603
ENSG00000169598.17_8	2195	2833	3105	3185
ENSG00000264428.1	70	70	70	70
ENSG00000198912.12_9	1574	1567	1645	2140
ENSG00000236423.8_10	2052	1940	3060	4620
ENSG00000233304.7_8	2324	2324	3242	4648
ENSG00000226374.3_9	1646	1646	1646	1646
ENSG00000284668.2_8	852	758	1258	1835
ENSG00000284703.1_9	4817	4817	4817	4817
ENSG00000229280.1_5	372	372	372	372
ENSG00000235054.4_8	2077	2077	2077	2077
ENSG00000284694.1_8	3402	3402	3402	3402
ENSG00000227169.2_11	356	356	356	356
ENSG00000232596.3_8	1034	963	1531	3026
ENSG00000196581.11_6	7242	7242	12102	12496
ENSG00000287586.1_5	3030	3030	3030	3030
ENSG00000284739.1_9	464	464	464	464
ENSG00000284674.1_6	1580	1580	1580	1580
ENSG00000231510.1_10	449	449	449	449
ENSG00000284616.1_8	1225	1225	1225	1225
ENSG00000284692.2_9	1520	1520	2210	2210
ENSG00000284666.1_8	609	609	609	609
ENSG00000260972.1_8	1697	1697	1697	1697
ENSG00000283356.1_8	135	135	135	135
ENSG00000236948.2_12	605	605	847	1095
ENSG00000264341.1	73	73	73	73
ENSG00000289893.1_1	1484	1484	1484	1484
ENSG00000216045.2	89	89	89	89
ENSG00000264101.1	70	70	70	70
ENSG00000131697.18_10	3979	3979	4955	5131
ENSG00000266687.1	86	86	86	86
ENSG00000069424.16_14	2676	2958	4302	9724
ENSG00000116254.18_9	9850	9850	9850	9850
ENSG00000285629.1_8	663	663	663	663
ENSG00000116251.11_10	1423	1423	2061	2415
ENSG00000226944.1_10	378	378	378	378
ENSG00000158286.13_6	3981	3981	3981	3981
ENSG00000116237.16_8	4795	4795	4795	4795
ENSG00000225077.3_8	1589	1589	2040	2322
ENSG00000173673.9_7	710	710	710	710
ENSG00000158292.7_8	4198	4198	4198	4198
ENSG00000097021.21_13	1613	1614	1813	2786
ENSG00000271746.1_8	837	837	837	837
ENSG00000069812.11_9	1537	968	4262	5407
ENSG00000187017.18_15	3204	3543	4731	5856
ENSG00000265392.1	63	63	63	63
ENSG00000231868.1_10	351	351	351	351
ENSG00000215788.11_16	1373	1441	1968	1997
ENSG00000171680.23_14	3612	3689	4191	5237
ENSG00000162408.11_8	6627	6627	6627	6627
ENSG00000253022.1	111	111	111	111
ENSG00000229519.2_9	401	401	401	401
ENSG00000173662.21_9	2317	2317	2764	2764
ENSG00000204859.13_13	2347	2347	2347	2347
ENSG00000162413.17_11	3163	2771	6445	6603
ENSG00000116273.6_6	3632	3632	3632	3632
ENSG00000041988.16_16	1486	1361	2053	2949
ENSG00000007923.17_11	2705	2705	3201	3309
ENSG00000228750.7_8	1183	1183	1686	2159
ENSG00000239166.1	103	103	103	103
ENSG00000284744.1_6	987	987	987	987
ENSG00000237436.1_9	415	415	415	415
ENSG00000171735.21_11	3729	3691	8314	13533
ENSG00000227950.1_7	286	286	286	286
ENSG00000237365.1_12	349	349	349	349
ENSG00000207056.1	165	165	165	165
ENSG00000237402.1_7	365	365	365	365
ENSG00000237728.2_10	411	411	432	743
ENSG00000225126.1_9	361	361	361	361
ENSG00000270171.1_8	1721	1721	1721	1721
ENSG00000270035.1_8	570	570	570	570
ENSG00000269978.1_8	267	267	267	267
ENSG00000049245.13_7	1566	1566	2178	2670
ENSG00000269925.1_9	393	393	393	393
ENSG00000049246.15_8	5334	6261	6365	6515
ENSG00000236266.1_10	830	830	830	830
ENSG00000049247.14_10	870	591	1601	1793
ENSG00000049249.10_9	5872	5872	5872	5872
ENSG00000270330.1_7	355	355	355	355
ENSG00000116288.13_10	954	977	1127	1354
ENSG00000200344.1	103	103	103	103
ENSG00000284747.1_9	2168	2168	2236	4116
ENSG00000284716.1_8	1043	1043	1043	1043
ENSG00000116285.13_8	1667	1546	3097	4163
ENSG00000238290.1_11	2044	2044	2044	2044
ENSG00000232848.1_10	800	800	800	800
ENSG00000229305.1_7	1075	1075	1075	1075
ENSG00000288816.1_1	1002	1002	1002	1002
ENSG00000227634.3_8	590	590	683	740
ENSG00000200975.1	164	164	164	164
ENSG00000233645.1_10	477	477	477	477
ENSG00000265414.1	255	255	255	255
ENSG00000251977.1	107	107	107	107
ENSG00000162426.16_8	2448	2448	2496	2498
ENSG00000252254.1	113	113	113	113
ENSG00000142599.20_15	5090	5496	8026	10348
ENSG00000232912.6_10	1052	1052	1052	1052
ENSG00000221083.1	125	125	125	125
ENSG00000270282.1_9	369	369	369	369
ENSG00000234619.1_5	658	658	658	658
ENSG00000224315.2_7	703	703	703	703
ENSG00000222511.1	99	99	99	99
ENSG00000226545.1_10	415	415	415	415
ENSG00000228423.2_12	353	353	353	353
ENSG00000229716.2_7	369	369	369	369
ENSG00000074800.16_15	1781	1781	1782	1843
ENSG00000230679.1_7	456	456	456	456
ENSG00000201725.1	107	107	107	107
ENSG00000238249.2_5	743	743	743	743
ENSG00000232208.2_9	352	352	352	352
ENSG00000232663.2_9	163	163	163	163
ENSG00000131686.15_11	1129	1138	1493	2661
ENSG00000290109.1_1	755	755	755	755
ENSG00000265141.1	297	297	297	297
ENSG00000197241.4_7	1944	1944	1944	1944
ENSG00000142583.18_11	3214	3214	4085	5680
ENSG00000252404.1	184	184	184	184
ENSG00000180758.12_9	5197	5197	5197	5197
ENSG00000228526.8_10	4334	4334	4457	8379
ENSG00000207865.1	110	110	110	110
ENSG00000289914.1_1	624	624	624	624
ENSG00000234546.5_9	1189	1189	1265	1368
ENSG00000049239.13_11	7368	7368	9147	9322
ENSG00000252841.1	143	143	143	143
ENSG00000171621.14_12	1850	1439	3106	3322
ENSG00000284652.1_6	1765	1765	1765	1765
ENSG00000284693.2_9	1254	839	2442	2623
ENSG00000252956.1_2	110	110	110	110
ENSG00000235263.1_10	708	708	708	708
ENSG00000171612.7_7	3865	3865	3865	3865
ENSG00000231181.1_7	559	559	559	559
ENSG00000188807.13_9	3833	3833	3851	6497
ENSG00000171608.18_9	4867	5157	5412	5936
ENSG00000179840.5_9	1823	1823	1823	1823
ENSG00000233268.3_10	421	421	421	421
ENSG00000231789.4_12	988	988	988	988
ENSG00000171603.18_12	4703	4703	4760	4779
ENSG00000271264.1_5	246	246	246	246
ENSG00000280113.2_6	1983	1983	1983	1983
ENSG00000178585.15_8	1378	1029	3006	3339
ENSG00000223989.1_8	424	424	424	424
ENSG00000285701.1_5	762	762	762	762
ENSG00000162441.12_9	2446	1405	4989	5005
ENSG00000228150.1_9	440	440	440	440
ENSG00000173614.14_7	2414	2414	3734	4292
ENSG00000202415.1	319	319	319	319
ENSG00000283611.2_10	444	444	444	444
ENSG00000265521.1	78	78	78	78
ENSG00000241326.1_9	436	436	436	436
ENSG00000162444.12_6	625	625	625	625
ENSG00000130939.20_10	4533	5338	6184	6849
ENSG00000224340.1_8	337	337	337	337
ENSG00000233623.2_7	680	680	680	680
ENSG00000201746.1	107	107	107	107
ENSG00000054523.20_14	7470	7408	10855	17274
ENSG00000264881.1	86	86	86	86
ENSG00000199562.1	107	107	107	107
ENSG00000264501.1	291	291	291	291
ENSG00000284735.1_9	1154	1154	1391	2308
ENSG00000265945.1	295	295	295	295
ENSG00000284642.1_6	1369	1369	1369	1369
ENSG00000142657.21_9	2268	2268	2268	2268
ENSG00000271989.1_8	797	797	797	797
ENSG00000251503.8_15	897	626	1469	2244
ENSG00000175279.22_9	744	744	905	1184
ENSG00000241563.4_6	914	914	914	914
ENSG00000160049.12_8	3719	3719	6035	6625
ENSG00000203469.2_8	467	467	467	467
ENSG00000142655.13_6	1922	1922	1922	1922
ENSG00000287727.1_5	2876	2876	2876	2876
ENSG00000243267.2	278	278	278	278
ENSG00000130940.15_13	6169	6169	7934	8526
ENSG00000272078.1_8	7923	7923	7923	7923
ENSG00000225158.2_7	238	238	238	238
ENSG00000175262.15_14	2798	2798	2798	2798
ENSG00000215785.2_7	494	494	494	494
ENSG00000264181.1	88	88	88	88
ENSG00000207213.1	84	84	84	84
ENSG00000120948.19_18	1722	1031	4185	4274
ENSG00000009724.18_9	1985	1956	2641	3152
ENSG00000116649.10_12	1260	1260	1260	1260
ENSG00000171824.14_11	2758	2758	2796	2796
ENSG00000226849.1_9	2682	2682	2682	2682
ENSG00000230337.3_10	690	690	690	690
ENSG00000198793.14_14	8604	8604	8721	8721
ENSG00000225602.5_7	705	705	705	705
ENSG00000253086.1	103	103	103	103
ENSG00000271794.1	107	107	107	107
ENSG00000171819.5_6	2224	2224	2224	2224
ENSG00000207451.1	107	107	107	107
ENSG00000238173.1_5	150	150	150	150
ENSG00000120942.14_10	2239	2239	3654	3946
ENSG00000238199.1_8	437	437	437	437
ENSG00000284646.1_8	742	742	742	742
ENSG00000224338.2_7	565	565	565	565
ENSG00000204624.8_7	3380	3380	5265	5417
ENSG00000285833.1_6	1051	1051	1051	1051
ENSG00000235643.2_8	1351	1351	1351	1351
ENSG00000284708.1_6	2094	2094	2094	2094
ENSG00000116661.11_12	1287	1287	1287	1287
ENSG00000132879.14_8	1943	1815	3320	3527
ENSG00000116670.16_11	1164	1027	1860	2324
ENSG00000116663.11_6	1444	1444	1444	1444
ENSG00000162490.7_6	7365	7365	7365	7365
ENSG00000177674.16_9	970	1055	1130	1317
ENSG00000215910.8_13	4608	4608	4672	5134
ENSG00000177553.6_9	1868	1868	1868	1868
ENSG00000177000.13_18	5315	7018	8378	8601
ENSG00000011021.23_9	4714	5589	5631	6087
ENSG00000175206.11_11	791	791	855	1120
ENSG00000120937.9_8	708	708	708	708
ENSG00000224904.1_7	2637	2637	2637	2637
ENSG00000285646.2_7	1136	952	1715	2010
ENSG00000199347.1	120	120	120	120
ENSG00000201801.1	120	120	120	120
ENSG00000116685.17_9	2679	2679	2819	3281
ENSG00000083444.17_9	2976	2976	2976	2976
ENSG00000287384.1_5	595	595	595	595
ENSG00000116688.18_12	4465	4529	4772	6203
ENSG00000270914.1_9	93	93	93	93
ENSG00000116691.11_6	1541	1541	1541	1541
ENSG00000202461.1	113	113	113	113
ENSG00000243539.2	273	273	273	273
ENSG00000120949.15_6	3238	3593	3760	3812
ENSG00000201135.1	104	104	104	104
ENSG00000227875.2_7	255	255	255	255
ENSG00000285604.1_6	1196	1196	1196	1196
ENSG00000028137.19_7	2122	2122	3687	3698
ENSG00000263676.1	61	61	61	61
ENSG00000225196.2_7	316	316	316	316
ENSG00000252969.1	124	124	124	124
ENSG00000048707.15_19	12144	16243	16355	16665
ENSG00000239149.1	152	152	152	152
ENSG00000229484.3_10	1939	1939	1939	1939
ENSG00000162496.9_11	2201	2201	2201	2201
ENSG00000221340.1	101	101	101	101
ENSG00000288927.2_2	540	540	573	599
ENSG00000272482.2_9	1081	1081	1081	1081
ENSG00000204518.3_4	2027	2027	2027	2027
ENSG00000226166.2_9	112	112	112	112
ENSG00000188984.12_7	4054	4054	4054	4054
ENSG00000238771.1	104	104	104	104
ENSG00000157330.10_10	2130	2130	3566	3566
ENSG00000116726.5_5	2889	2889	2889	2889
ENSG00000116721.9_7	2148	2148	2148	2148
ENSG00000228338.1_8	378	378	378	378
ENSG00000204513.5	1839	1839	1839	1839
ENSG00000231103.2_8	1414	1414	1414	1414
ENSG00000179172.10_8	1134	1134	1134	1134
ENSG00000120952.4_4	1642	1642	1642	1642
ENSG00000243073.4_8	1840	1840	1840	1840
ENSG00000187545.5_8	1524	1524	1524	1524
ENSG00000204510.6_8	1713	1713	1866	1909
ENSG00000207434.1	107	107	107	107
ENSG00000234064.1_5	1139	1139	1139	1139
ENSG00000232423.6_9	1720	1720	1720	1784
ENSG00000204508.3	1446	1446	1446	1446
ENSG00000239810.2	605	605	605	605
ENSG00000233336.1	384	384	384	384
ENSG00000229978.1	667	667	667	667
ENSG00000277862.1_5	1447	1447	1447	1447
ENSG00000236179.1_8	891	891	891	891
ENSG00000275774.3_8	1156	1156	1156	1156
ENSG00000229571.2	1476	1476	1476	1476
ENSG00000204503.5	2104	2104	2104	2104
ENSG00000204502.2	1855	1855	1855	1855
ENSG00000231219.1_8	1068	1068	1068	1068
ENSG00000207511.1	107	107	107	107
ENSG00000182330.6	1844	1844	1844	1844
ENSG00000204501.2	1863	1863	1863	1863
ENSG00000228229.2	384	384	384	384
ENSG00000279169.3_13	1542	1542	1918	2168
ENSG00000274178.2_7	1422	1422	1422	1422
ENSG00000204491.2	1440	1440	1440	1440
ENSG00000204488.3	1587	1587	1587	1587
ENSG00000204486.3	1512	1512	1597	1597
ENSG00000157358.7	1863	1863	1863	1863
ENSG00000204481.8_8	2164	2164	2164	2164
ENSG00000204480.9_10	2123	2123	2123	2123
ENSG00000204479.4_6	1578	1578	1578	1578
ENSG00000204478.11_7	1597	1597	1597	1597
ENSG00000162494.6_8	2168	2168	2168	2168
ENSG00000259961.1_8	477	477	477	477
ENSG00000215909.3_5	371	371	371	371
ENSG00000162493.17_14	1569	1305	3104	3707
ENSG00000222952.1_2	101	101	101	101
ENSG00000266358.1	101	101	101	101
ENSG00000237445.2_11	379	379	379	379
ENSG00000253085.1	130	130	130	130
ENSG00000116731.23_12	4452	5797	7957	9691
ENSG00000289380.1_1	688	688	688	688
ENSG00000189337.17_15	3481	3643	6874	10591
ENSG00000252151.1	103	103	103	103
ENSG00000231606.2_11	976	976	1239	1549
ENSG00000234593.3_10	1081	1057	1343	2134
ENSG00000235829.1_7	326	326	326	326
ENSG00000287756.1_5	1453	1453	1453	1453
ENSG00000175147.13_10	4619	5022	7100	9697
ENSG00000171729.14_9	1891	1861	1971	2238
ENSG00000204464.7_7	348	348	441	559
ENSG00000215720.4_9	710	710	710	710
ENSG00000278480.1_7	966	966	966	966
ENSG00000142621.21_11	3806	4722	5610	6364
ENSG00000233485.1_10	3105	3105	3105	3105
ENSG00000236045.1_11	727	727	727	727
ENSG00000228140.2_12	5178	5178	5178	5178
ENSG00000142634.13_6	2422	2422	2422	2422
ENSG00000162438.12_6	3314	3314	3482	3483
ENSG00000142615.8_7	916	916	916	916
ENSG00000215704.10_11	915	915	915	915
ENSG00000132906.18_13	2560	2214	4463	4607
ENSG00000116138.13_6	4429	4664	6034	7817
ENSG00000251866.1	140	140	140	140
ENSG00000272510.1_8	346	346	346	346
ENSG00000116771.6_8	3095	3095	3095	3095
ENSG00000237301.1_10	2845	2845	2845	2845
ENSG00000235084.3_5	447	447	447	447
ENSG00000252417.1	68	68	68	68
ENSG00000236500.1_5	225	225	225	225
ENSG00000197312.13_8	10645	10665	10667	10667
ENSG00000215695.2_7	2321	2321	2321	2321
ENSG00000271742.1_8	256	256	256	256
ENSG00000116786.13_11	3971	4004	4134	4134
ENSG00000264048.1	87	87	87	87
ENSG00000237938.5_14	645	645	645	645
ENSG00000162461.8_6	3129	3129	3129	3129
ENSG00000224459.2_10	642	642	642	642
ENSG00000162460.7_6	1443	1443	1443	1443
ENSG00000162458.13_12	2471	2428	3498	4009
ENSG00000224321.1_7	490	490	490	490
ENSG00000233954.7_8	1228	1228	2180	2180
ENSG00000178715.8_9	438	438	438	438
ENSG00000179743.4_12	2473	2473	2473	2473
ENSG00000065526.13_12	12385	12385	12385	12385
ENSG00000238818.1	101	101	101	101
ENSG00000270620.1_7	211	211	211	211
ENSG00000116809.12_13	2667	2720	2770	2794
ENSG00000234607.2_9	563	563	563	563
ENSG00000231353.1_7	260	260	260	260
ENSG00000275503.1_7	236	236	236	236
ENSG00000224966.4_5	962	962	962	962
ENSG00000183888.4_5	3039	3039	3039	3039
ENSG00000233078.1_10	466	466	466	466
ENSG00000173641.18_17	1635	2128	2415	2651
ENSG00000186510.12_9	2356	2491	2581	2584
ENSG00000232456.1_10	704	704	704	704
ENSG00000184908.20_8	2791	2869	3331	3995
ENSG00000185519.9_8	1720	1720	1720	1720
ENSG00000142627.13_8	3946	3946	3946	3946
ENSG00000227959.2_9	1758	1758	1758	1758
ENSG00000224621.1_8	544	544	544	544
ENSG00000234166.1_7	439	439	439	439
ENSG00000142632.17_9	3322	3322	3322	3322
ENSG00000291077.1_3	665	665	1002	1002
ENSG00000237276.10_11	1720	1720	1720	1720
ENSG00000288398.1_4	2662	2662	2662	2662
ENSG00000204377.3	252	252	252	252
ENSG00000132881.12_9	1574	1574	1574	1574
ENSG00000233929.1_5	186	186	186	186
ENSG00000037637.11_9	6227	6227	6227	6227
ENSG00000055070.17_11	2805	3424	3480	3634
ENSG00000226457.1_6	381	381	381	381
ENSG00000187144.11_13	1381	1454	2015	2915
ENSG00000157191.20_8	1412	1432	2018	2021
ENSG00000226029.1_6	3245	3245	3245	3245
ENSG00000290842.1_3	2971	2971	5368	5524
ENSG00000080947.16_8	2039	2039	2039	2039
ENSG00000206652.1	164	164	164	164
ENSG00000261135.1_8	1110	1110	1110	1110
ENSG00000285853.1_4	1558	1558	1558	1558
ENSG00000224174.2_10	327	327	327	327
ENSG00000233421.5_8	1548	1548	1548	1548
ENSG00000268674.1	510	510	510	510
ENSG00000225710.1_9	882	882	882	882
ENSG00000266584.1	74	74	74	74
ENSG00000219481.11_9	5932	5932	5932	5932
ENSG00000271732.1_8	339	339	339	339
ENSG00000291072.1_3	2018	2102	2575	4216
ENSG00000215908.12_9	2773	2773	2773	2773
ENSG00000283773.1_8	166	166	166	166
ENSG00000186301.8_5	2291	2291	2291	2291
ENSG00000282143.1_8	817	817	817	817
ENSG00000207513.1	164	164	164	164
ENSG00000237847.2	510	510	510	510
ENSG00000280114.1_4	1351	1351	1351	1351
ENSG00000264742.1	74	74	74	74
ENSG00000236698.1_5	435	435	435	435
ENSG00000290849.1_1	571	571	571	571
ENSG00000268869.7_8	3693	3693	3693	3693
ENSG00000279151.1_8	406	406	406	406
ENSG00000268991.1	510	510	510	510
ENSG00000282740.1_10	819	819	819	819
ENSG00000058453.17_12	6660	6660	6660	6660
ENSG00000290850.1_1	573	573	573	573
ENSG00000207389.1	164	164	164	164
ENSG00000227684.3_8	498	498	498	498
ENSG00000290851.1_3	2579	3184	3995	4881
ENSG00000186715.12_8	2185	2185	2185	2185
ENSG00000223643.6_11	735	735	735	735
ENSG00000230239.1_8	882	882	882	882
ENSG00000263811.1	73	73	73	73
ENSG00000228549.5_12	2520	2520	2520	2520
ENSG00000238142.4_13	1125	1125	1666	1776
ENSG00000235241.1_8	508	508	508	508
ENSG00000207005.1	164	164	164	164
ENSG00000272426.1_9	438	438	438	438
ENSG00000290122.1_1	198	198	198	198
ENSG00000117122.14_15	1007	1007	1045	1045
